"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000184916",769.886232461551,0.0189204992914844,0.146439088821165,0.129203885682398,0.897196321653952,0.943086964871614
"ENSG00000086300",237.721427471864,0.0298317939377441,0.231159297498134,0.1290529702271,0.897315735045572,0.943140485178816
"ENSG00000116918",1573.23863353497,0.0174086175777819,0.135125142966984,0.128833296272889,0.897489558455835,0.943197183853371
"ENSG00000248592",4.36804413844803,0.166435703824987,1.2922106225348,0.12879920728287,0.897516532802552,0.943197183853371
"ENSG00000170584",1232.9594117467,0.0172848771023624,0.134315928588077,0.128688215046869,0.897604360896685,0.943197183853371
"ENSG00000253293",69.0013422746019,-0.0449378352754387,0.349334205964985,-0.128638520099411,0.897643684887397,0.943197183853371
"ENSG00000012963",988.953161344535,-0.016825299810346,0.131424885269069,-0.128022176134293,0.89813142342823,0.943565662229765
"ENSG00000137809",8.09359804146412,-0.124086011422347,0.968912850016217,-0.128067257463115,0.89809574739632,0.943565662229765
"ENSG00000138439",503.340946349051,0.0208541965304888,0.163340444849833,0.12767319539053,0.898407603440698,0.943705199207104
"ENSG00000068438",917.34909185328,0.0173673937653553,0.136009095117231,0.127692885173493,0.898392020807496,0.943705199207104
"ENSG00000127540",463.741692324307,-0.0247789228602492,0.194200503722659,-0.127594534438677,0.89846985666395,0.943705199207104
"ENSG00000142065",365.399882471292,-0.0225348752333038,0.177148337800818,-0.127209069602683,0.898774927196431,0.943953621095932
"ENSG00000157837",558.768941436813,0.0190965654041042,0.150462541890276,0.126919066793583,0.899004455560982,0.944122671696985
"ENSG00000177239",1350.46735743502,-0.0169914768932736,0.134116753635556,-0.126691680440205,0.899184430823652,0.944239660464526
"ENSG00000243716",72.381007412327,-0.0467960148986866,0.370848228345755,-0.126186432405057,0.899584350887517,0.944587579300711
"ENSG00000198736",410.012183135256,0.0228566864611951,0.181474468019033,0.125949874440728,0.899771602891704,0.944712154965371
"ENSG00000125962",650.570760141902,-0.018871476681215,0.150166315878754,-0.125670504538795,0.899992750692386,0.944872297696033
"ENSG00000165802",1846.81855675774,0.0145944088971393,0.116768689943837,0.124985635311648,0.900534922520006,0.945369422703412
"ENSG00000065135",1898.28539516064,0.0146835635230999,0.118469745145695,0.123943573146392,0.901359952532163,0.945802495645649
"ENSG00000211456",2029.08885051586,0.0159359791262361,0.128576032464992,0.123942066190097,0.90136114570935,0.945802495645649
